Day #,Wall Street Crash,73-74 Market Crash,Black Monday,Dot Com Bubble,Financial Crisis,Corona Virus
Day -99,25.059999,111.660004,293.630005,1500.589966,1501.189941,3005.7
Day -98,25.15,111.339996,300.410004,1467.170044,1514.140015,3006.73
Day -97,25,111.760002,301.950012,1440.51001,1512.75,3006.79
Day -96,25.059999,111.720001,296.690002,1356.560059,1522.75,2992.07
Day -95,25.32,112.410004,297.26001,1401.439941,1525.099976,2991.78
Day -94,25.43,112.260002,292.859985,1441.609985,1524.119995,2966.6
Day -93,25.41,111.019997,292.48999,1427.469971,1522.280029,2984.87
Day -92,25.700001,110.669998,285.619995,1434.540039,1507.51001,2977.62
Day -91,25.85,110.230003,279.160004,1429.859985,1515.72998,2961.79
Day -90,25.75,110.410004,284.440002,1477.439941,1518.109985,2976.74
Day -89,25.629999,110.57,286.910004,1460.98999,1530.22998,2940.25
Day -88,25.58,111.089996,286.089996,1464.920044,1530.619995,2887.61
Day -87,25.530001,111.510002,293.070007,1452.430054,1536.339966,2910.63
Day -86,25.940001,111.230003,287.190002,1468.25,1539.180054,2952.01
Day -85,25.99,110.550003,286.820007,1446.290039,1530.949951,2938.79
Day -84,26.110001,110.290001,281.519989,1415.099976,1517.380005,2893.06
Day -83,26.370001,110.150002,281.829987,1409.569946,1490.719971,2919.4
Day -82,26.32,109.510002,282.51001,1432.630005,1507.670044,2938.13
Day -81,26.07,108.470001,284.570007,1424.170044,1509.119995,2970.27
Day -80,26.18,108.900002,288.359985,1412.140015,1493,2966.15
Day -79,26.02,108.93,288.029999,1383.050049,1515.670044,2995.68
Day -78,26.34,108.809998,289.359985,1407.810059,1522.969971,2989.69
Day -77,25.639999,108.610001,295.339996,1420.959961,1532.910034,2997.95
Day -76,25.950001,108.550003,295.470001,1452.359985,1531.050049,2986.2
Day -75,25.84,108.599998,294.709991,1466.040039,1533.699951,3006.72
Day -74,25.969999,108.43,293.369995,1447.800049,1512.839966,2995.99
Day -73,26.09,108.519997,291.570007,1437.209961,1522.189941,3004.52
Day -72,25.389999,108.050003,293.299988,1406.949951,1502.560059,3010.29
Day -71,25.700001,108.120003,293.980011,1400.719971,1497.73999,3022.55
Day -70,24.76,109.660004,294.23999,1373.859985,1492.890015,3039.42
Day -69,25.309999,110.349998,287.429993,1399.050049,1506.339966,3036.89
Day -68,25.120001,110.550003,286.649994,1381.52002,1505.709961,3046.77
Day -67,24.200001,110.160004,279.619995,1378.02002,1503.349976,3037.56
Day -66,24.59,110.300003,278.209991,1422.449951,1519.430054,3066.91
Day -65,24.620001,110.089996,280.170013,1420.599976,1524.869995,3078.27
Day -64,24.83,108.889999,282.160004,1448.810059,1525.400024,3074.62
Day -63,25.27,109.620003,289.109985,1477.26001,1530.439941,3076.78
Day -62,25.639999,109.900002,288.730011,1467.630005,1531.849976,3085.18
Day -61,25.59,109.989998,290.76001,1457.839966,1510.119995,3093.08
Day -60,25.639999,109.5,290.100006,1471.359985,1518.76001,3087.01
Day -59,25.530001,108.599998,289.829987,1461.670044,1547.699951,3091.84
Day -58,25.27,107.919998,288.459991,1456.949951,1552.5,3094.04
Day -57,25.43,106.769997,293.470001,1446,1549.52002,3096.63
Day -56,25.450001,107.5,295.089996,1469.439941,1549.369995,3120.46
Day -55,25.84,108.190002,293.450012,1470.540039,1546.170044,3122.03
Day -54,25.93,108.050003,296.720001,1478.72998,1553.079956,3120.18
Day -53,26.41,109.239998,297.279999,1464.459961,1534.099976,3108.46
Day -52,26.42,110.349998,297.470001,1486,1541.569946,3103.54
Day -51,26.32,110.809998,298.730011,1475.949951,1511.040039,3110.29
Day -50,26.469999,110.720001,301.619995,1479.130005,1518.089966,3133.64
Day -49,26.620001,110.989998,303.140015,1452.180054,1482.660034,3140.52
Day -48,26.620001,110.620003,304.76001,1441.47998,1458.949951,3153.63
Day -47,26.9,110.589996,304.809998,1455.310059,1473.910034,3140.98
Day -46,27.059999,111.580002,305.690002,1450.550049,1455.27002,3113.87
Day -45,27.110001,112.669998,306.970001,1454.819946,1465.810059,3093.2
Day -44,27.41,113.230003,309.649994,1442.390015,1472.199951,3112.76
Day -43,27.77,114.220001,308.429993,1454.599976,1433.060059,3117.43
Day -42,28.059999,113.980003,306.859985,1469.540039,1467.670044,3145.91
Day -41,28.18,113.349998,308.959991,1446.22998,1476.709961,3135.96
Day -40,28.32,113.5,307.160004,1456.670044,1497.48999,3132.52
Day -39,28.370001,113.730003,307.899994,1478.900024,1453.089966,3141.63
Day -38,28.280001,113.900002,304,1475.619995,1453.640015,3168.57
Day -37,28.200001,114.949997,302.940002,1480.880005,1452.920044,3168.8
Day -36,28.26,114.5,305.630005,1492.920044,1426.540039,3191.45
Day -35,28.57,115.129997,304.920013,1495.839966,1406.699951,3192.52
Day -34,28.450001,115.489998,307.399994,1509.97998,1411.27002,3191.14
Day -33,28.65,115.529999,308.290009,1510.48999,1445.939941,3205.37
Day -32,28.719999,116.209999,307.519989,1493.73999,1445.550049,3221.22
Day -31,28.66,116.900002,308.369995,1481.959961,1447.119995,3224.01
Day -30,28.76,117.269997,307.630005,1495.569946,1464.069946,3223.38
Day -29,28.43,116.720001,310.679993,1480.189941,1462.5,3239.91
Day -28,28.83,116.470001,310.420013,1464.290039,1479.369995,3240.02
Day -27,28.639999,116.519997,312.700012,1474.469971,1466.790039,3221.29
Day -26,28.77,116.669998,314.589996,1452.420044,1432.359985,3230.78
Day -25,28.66,117.379997,311.390015,1449.619995,1463.76001,3257.85
Day -24,28.18,117.769997,308.549988,1419.890015,1457.640015,3234.85
Day -23,28.5,117.580002,308.470001,1430.829956,1473.98999,3246.28
Day -22,28.879999,118.010002,307.809998,1438.099976,1489.420044,3237.18
Day -21,29.08,118.599998,309.269989,1438.699951,1472.290039,3253.05
Day -20,29.559999,118.860001,310.649994,1452.560059,1478.550049,3274.7
Day -19,29.540001,119.120003,312.329987,1462.930054,1453.550049,3265.35
Day -18,29.43,118.660004,315.649994,1479.319946,1451.699951,3288.13
Day -17,29.129999,118.559998,318.049988,1482.800049,1471.48999,3283.15
Day -16,29.469999,118.239998,318.660004,1472.869995,1471.560059,3289.29
Day -15,28.379999,118.260002,317.570007,1460.25,1483.949951,3316.81
Day -14,29.27,116.900002,316.230011,1471.839966,1484.25,3329.62
Day -13,29.530001,116.339996,318.450012,1491.560059,1476.650024,3320.79
Day -12,29.620001,115.949997,322.089996,1484.430054,1519.780029,3321.75
Day -11,29.67,115.110001,323,1479.849976,1529.030029,3325.54
Day -10,30.219999,115.830002,328,1496.069946,1518.75,3295.47
Day -9,30.5,116.300003,333.329987,1491.719971,1525.75,3243.63
Day -8,30.68,116.93,332.390015,1499.47998,1517.72998,3276.24
Day -7,30.549999,118.050003,334.649994,1498.130005,1517.209961,3273.4
Day -6,30.790001,119.099998,333.98999,1505.969971,1525.420044,3283.66
Day -5,31.09,119.57,334.109985,1508.310059,1531.380005,3225.52
Day -4,31.07,119.400002,329.25,1506.449951,1526.75,3248.92
Day -3,31.049999,119.870003,329.829987,1514.089966,1547.040039,3297.59
Day -2,30.99,119.849998,334.839996,1509.839966,1546.630005,3334.69
Day -1,31.290001,119.730003,335.899994,1502.589966,1539.589966,3345.78
Day 0,31.709999,119.43,333.329987,1517.680054,1542.839966,3327.71
Day 1,31.82,120.239998,336.769989,1520.77002,1557.589966,3352.09
Day 2,31.719999,119.300003,334.570007,1507.079956,1552.579956,3357.75
Day 3,31.02,118.440002,331.380005,1492.25,1565.150024,3379.45
Day 4,31.83,118.139999,327.040009,1502.51001,1562.469971,3373.94
Day 5,31.67,118.68,329.799988,1494.5,1554.410034,3380.16
Day 6,31.1,118.849998,323.399994,1489.26001,1561.800049,3370.29
Day 7,31.530001,118.779999,321.679993,1481.98999,1548.709961,3386.15
Day 8,31.17,118.209999,320.209991,1484.910034,1538.530029,3373.23
Day 9,31.379999,118.220001,316.700012,1480.869995,1541.23999,3337.75
Day 10,31.860001,116.730003,313.559998,1465.810059,1540.079956,3225.89
Day 11,31.6,116.449997,313.920013,1444.51001,1500.630005,3128.21
Day 12,31.68,116.010002,317.130005,1459.900024,1506.329956,3116.39
Day 13,31.73,115.830002,321.980011,1451.339966,1519.589966,2978.76
Day 14,31.389999,116.029999,323.079987,1449.050049,1515.880005,2954.22
Day 15,31.379999,114.760002,317.73999,1448.719971,1514.400024,3090.23
Day 16,30.799999,114.349998,314.859985,1439.030029,1535.280029,3003.37
Day 17,30.85,114.230003,314.929993,1427.209961,1540.97998,3130.12
Day 18,31.129999,114.449997,314.859985,1426.569946,1531.02002,3023.94
Day 19,30.27,113.660004,310.540009,1458.290039,1549.380005,2972.37
Day 20,30.16,113.160004,319.5,1436.51001,1508.439941,2746.56
Day 21,29.98,114.68,321.190002,1436.22998,1509.650024,2882.23
Day 22,30.200001,116.059998,319.720001,1426.459961,1502.170044,2741.38
Day 23,28.950001,116.779999,320.160004,1434.319946,1520.27002,2480.64
Day 24,28.65,115.099998,323.200012,1436.280029,1475.619995,2711.02
Day 25,30.440001,114.449997,321.690002,1408.98999,1474.77002,2386.13
Day 26,30.34,114.980003,321.829987,1402.030029,1453.699951,2529.19
Day 27,30.27,115.400002,327.329987,1387.02002,1439.180054,2398.1
Day 28,30.809999,114.690002,328.070007,1364.589966,1481.050049,2409.39
Day 29,30.76,114.440002,328.079987,1329.780029,1470.579956,2304.92
Day 30,30.549999,113.160004,319.220001,1374.170044,1451.150024,2237.4
Day 31,30.299999,112.190002,318.540009,1374.619995,1458.73999,2447.33
Day 32,29.24,110.900002,314.160004,1349.969971,1433.27002,2475.56
Day 33,29.690001,111.68,311.070007,1342.130005,1439.699951,2630.07
Day 34,28.84,111.050003,309.390015,1388.76001,1416.77002,2541.47
Day 35,27.73,112.279999,314.519989,1396.930054,1440.699951,2626.65
Day 36,28.27,112.68,305.230011,1395.780029,1407.219971,2584.59
Day 37,26.6,114.099998,298.079987,1398.130005,1428.22998,
Day 38,25.75,114.449997,282.700012,1364.900024,1469.02002,
Day 39,26.120001,114.230003,224.839996,1364.439941,1469.719971,
